city,date,temperature,feels_like,humidity,description,wind_speed
Paris,2020-01-01,3.0,0.2,98,light drizzle,2.19
Paris,2020-01-02,7.3,4.8,95,light drizzle,3.08
Paris,2020-01-03,9.8,6.4,88,light drizzle,5.56
Paris,2020-01-04,6.3,3.2,87,overcast clouds,3.28
Paris,2020-01-05,5.8,3.7,92,overcast clouds,1.44
Paris,2020-01-06,3.4,-0.2,90,overcast clouds,3.36
Paris,2020-01-07,8.0,5.3,92,overcast clouds,3.64
Paris,2020-01-08,11.3,9.2,94,light drizzle,4.11
Paris,2020-01-09,11.5,8.3,91,light rain,6.25
Paris,2020-01-10,7.7,4.2,86,light drizzle,4.61
Paris,2020-01-11,4.7,1.4,82,overcast clouds,2.89
Paris,2020-01-12,6.2,2.3,87,overcast clouds,4.83
Paris,2020-01-13,8.4,4.8,91,moderate drizzle,5.39
Paris,2020-01-14,10.2,4.3,68,moderate drizzle,8.75
Paris,2020-01-15,10.0,5.4,71,overcast clouds,6.5
Paris,2020-01-16,8.4,5.2,85,overcast clouds,4.19
Paris,2020-01-17,9.4,5.4,75,dense drizzle,5.42
Paris,2020-01-18,5.0,1.4,83,light drizzle,3.47
Paris,2020-01-19,3.2,-0.8,84,light drizzle,3.81
Paris,2020-01-20,2.6,-1.4,87,overcast clouds,3.78
Paris,2020-01-21,0.7,-2.8,89,clear sky,2.19
Paris,2020-01-22,-0.8,-4.5,91,overcast clouds,2.44
Paris,2020-01-23,0.3,-3.5,87,mainly clear,2.83
Paris,2020-01-24,-0.4,-3.4,93,partly cloudy,1.28
Paris,2020-01-25,0.5,-2.5,98,overcast clouds,1.78
Paris,2020-01-26,5.0,1.9,94,light rain,3.31
Paris,2020-01-27,8.5,4.1,90,light rain,6.81
Paris,2020-01-28,6.2,0.3,79,moderate drizzle,8.14
Paris,2020-01-29,6.3,1.9,81,light drizzle,5.39
Paris,2020-01-30,8.2,4.8,92,light rain,5.31
Paris,2020-01-31,12.0,9.3,88,light drizzle,5.17
Paris,2020-02-01,12.5,9.1,85,moderate rain,6.56
Paris,2020-02-02,12.7,9.8,90,light rain,6.19
Paris,2020-02-03,12.2,9.4,85,moderate rain,5.31
Paris,2020-02-04,6.7,1.5,76,light rain,6.78
Paris,2020-02-05,6.4,3.4,79,overcast clouds,2.58
Paris,2020-02-06,3.8,0.6,82,overcast clouds,2.22
Paris,2020-02-07,5.2,1.8,77,overcast clouds,3.08
Paris,2020-02-08,8.7,5.7,86,moderate drizzle,4.11
Paris,2020-02-09,9.7,3.9,84,moderate drizzle,9.58
Paris,2020-02-10,10.1,3.5,73,light rain,10.33
Paris,2020-02-11,6.4,0.5,73,moderate drizzle,7.89
Paris,2020-02-12,5.9,1.0,72,light drizzle,5.56
Paris,2020-02-13,8.2,2.7,78,light rain,7.89
Paris,2020-02-14,9.2,5.8,75,overcast clouds,4.06
Paris,2020-02-15,10.3,6.4,80,moderate drizzle,5.81
Paris,2020-02-16,13.9,8.2,69,light rain,9.94
Paris,2020-02-17,9.2,4.7,74,moderate drizzle,6.17
Paris,2020-02-18,7.2,2.5,74,overcast clouds,5.72
