time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),city
2020-01-01,3,23.2,23.0,59,12.3,Mecca
2020-01-02,3,24.7,25.1,62,13.4,Mecca
2020-01-03,2,24.8,25.4,63,13.2,Mecca
2020-01-04,3,21.8,19.5,54,19.5,Mecca
2020-01-05,3,19.5,16.1,48,20.1,Mecca
2020-01-06,1,18.9,15.2,33,13.4,Mecca
2020-01-07,2,21.0,18.0,36,13.4,Mecca
2020-01-08,3,20.1,18.1,54,14.1,Mecca
2020-01-09,3,18.4,15.4,52,18.3,Mecca
2020-01-10,3,17.4,14.3,52,16.6,Mecca
2020-01-11,3,17.2,13.6,47,17.3,Mecca
2020-01-12,3,19.5,14.8,23,16.8,Mecca
2020-01-13,1,20.6,16.9,25,10.8,Mecca
2020-01-14,1,21.4,18.0,26,10.5,Mecca
2020-01-15,0,23.2,20.1,29,11.9,Mecca
2020-01-16,3,24.0,22.3,43,13.2,Mecca
2020-01-17,51,24.4,24.6,67,15.9,Mecca
2020-01-18,51,22.9,22.8,65,14.0,Mecca
2020-01-19,2,21.1,18.8,49,16.5,Mecca
2020-01-20,0,20.9,18.1,45,16.5,Mecca
2020-01-21,0,20.0,17.2,52,19.1,Mecca
2020-01-22,1,18.1,14.8,54,20.4,Mecca
2020-01-23,0,18.1,13.8,35,17.8,Mecca
2020-01-24,0,18.0,14.3,35,13.6,Mecca
2020-01-25,0,18.1,14.0,39,18.5,Mecca
2020-01-26,0,21.2,16.9,24,15.8,Mecca
2020-01-27,0,22.4,18.7,21,11.1,Mecca
2020-01-28,51,23.2,21.6,44,12.4,Mecca
2020-01-29,53,22.0,22.2,69,11.5,Mecca
2020-01-30,51,23.0,22.3,55,12.5,Mecca
2020-01-31,61,21.9,22.1,65,10.3,Mecca
2020-02-01,51,21.5,20.8,60,12.3,Mecca
2020-02-02,3,21.9,21.1,56,11.3,Mecca
2020-02-03,51,23.5,23.1,57,13.4,Mecca
2020-02-04,51,22.0,23.1,70,6.4,Mecca
2020-02-05,55,22.9,24.0,67,8.1,Mecca
2020-02-06,3,24.4,24.6,59,11.3,Mecca
2020-02-07,2,24.7,24.8,58,12.9,Mecca
2020-02-08,1,23.9,22.4,48,14.9,Mecca
2020-02-09,0,21.4,17.8,41,19.7,Mecca
2020-02-10,2,20.0,16.4,47,22.0,Mecca
2020-02-11,3,20.7,16.5,40,21.2,Mecca
2020-02-12,0,22.7,19.4,30,14.3,Mecca
2020-02-13,0,24.3,22.5,37,11.5,Mecca
2020-02-14,1,25.3,25.6,54,10.4,Mecca
2020-02-15,51,26.2,26.5,58,14.8,Mecca
2020-02-16,3,26.7,26.5,58,18.3,Mecca
2020-02-17,3,25.3,26.4,65,12.7,Mecca
2020-02-18,3,25.3,26.2,63,13.5,Mecca
2020-02-19,51,23.1,23.0,65,15.7,Mecca
2020-02-20,3,20.8,16.2,33,21.0,Mecca
2020-02-21,1,20.8,18.9,48,12.8,Mecca
2020-02-22,2,23.1,22.1,49,12.0,Mecca
2020-02-23,3,24.3,23.7,55,16.2,Mecca
2020-02-24,3,24.9,25.1,59,13.8,Mecca
2020-02-25,53,18.8,17.1,66,16.9,Mecca
2020-02-26,1,19.4,16.4,43,15.3,Mecca
2020-02-27,3,24.3,22.9,42,11.1,Mecca
2020-02-28,0,25.0,25.0,53,11.2,Mecca
2020-02-29,2,24.9,25.6,61,12.4,Mecca
2020-03-01,2,24.5,21.1,34,18.5,Mecca
2020-03-02,1,25.7,23.5,36,13.9,Mecca
2020-03-03,0,26.2,25.7,45,11.4,Mecca
2020-03-04,53,26.2,26.9,53,10.1,Mecca
2020-03-05,2,26.4,28.4,62,8.2,Mecca
2020-03-06,0,27.0,28.4,60,12.1,Mecca
2020-03-07,0,26.2,24.4,41,16.2,Mecca
2020-03-08,3,27.1,24.1,30,14.8,Mecca
2020-03-09,1,28.7,25.8,23,14.3,Mecca
2020-03-10,0,27.1,27.2,46,12.0,Mecca
2020-03-11,3,29.1,29.7,48,12.1,Mecca
2020-03-12,3,29.8,29.0,45,20.5,Mecca
2020-03-13,61,26.6,25.5,56,22.3,Mecca
2020-03-14,53,21.8,20.1,54,16.8,Mecca
2020-03-15,0,22.6,19.8,41,18.1,Mecca
2020-03-16,2,24.9,24.3,49,12.1,Mecca
2020-03-17,3,26.2,26.3,50,12.3,Mecca
2020-03-18,0,25.6,23.5,41,16.7,Mecca
2020-03-19,0,24.1,21.2,36,16.5,Mecca
2020-03-20,1,24.3,21.0,30,15.5,Mecca
2020-03-21,0,24.6,21.5,29,14.8,Mecca
2020-03-22,0,22.7,19.1,31,17.7,Mecca
2020-03-23,0,23.1,19.8,27,13.2,Mecca
2020-03-24,2,26.6,23.0,19,13.4,Mecca
2020-03-25,2,27.9,24.5,25,17.4,Mecca
2020-03-26,0,28.3,26.1,27,12.2,Mecca
2020-03-27,0,29.5,26.8,36,25.5,Mecca
2020-03-28,1,30.6,28.4,41,28.8,Mecca
2020-03-29,0,25.7,23.5,40,17.2,Mecca
2020-03-30,2,26.0,23.6,36,16.3,Mecca
2020-03-31,0,28.4,27.8,39,12.8,Mecca
2020-04-01,2,29.4,29.4,42,13.7,Mecca
2020-04-02,1,30.0,29.8,41,13.9,Mecca
2020-04-03,0,29.8,26.2,22,17.8,Mecca
2020-04-04,0,30.4,28.9,27,12.6,Mecca
2020-04-05,1,31.6,31.8,38,12.2,Mecca
2020-04-06,1,32.2,32.0,36,13.4,Mecca
2020-04-07,3,32.0,31.3,31,12.9,Mecca
2020-04-08,3,31.7,31.3,36,14.3,Mecca
2020-04-09,3,29.8,29.8,44,14.2,Mecca
2020-04-10,3,27.5,25.0,34,18.4,Mecca
2020-04-11,3,25.4,21.1,25,21.1,Mecca
2020-04-12,3,24.9,22.3,40,18.8,Mecca
2020-04-13,1,25.9,23.2,34,17.1,Mecca
2020-04-14,1,25.9,23.1,32,16.1,Mecca
2020-04-15,0,25.7,21.9,23,16.7,Mecca
2020-04-16,0,26.7,24.8,35,13.6,Mecca
2020-04-17,0,28.3,27.0,37,15.3,Mecca
2020-04-18,3,29.0,28.5,38,12.4,Mecca
2020-04-19,51,29.2,29.8,49,15.5,Mecca
2020-04-20,3,28.0,29.9,61,13.0,Mecca
2020-04-21,1,28.0,28.4,50,12.4,Mecca
2020-04-22,1,28.7,29.1,49,14.4,Mecca
2020-04-23,0,30.2,29.9,40,11.3,Mecca
2020-04-24,0,31.1,29.3,25,11.6,Mecca
2020-04-25,0,31.8,30.5,29,14.4,Mecca
2020-04-26,2,30.1,29.4,37,14.5,Mecca
2020-04-27,0,30.0,27.8,28,15.3,Mecca
2020-04-28,1,32.0,31.1,32,14.4,Mecca
2020-04-29,0,30.6,31.4,48,16.9,Mecca
2020-04-30,0,30.6,29.0,34,16.4,Mecca
2020-05-01,0,30.6,28.2,25,14.6,Mecca
2020-05-02,1,30.2,27.3,20,12.8,Mecca
2020-05-03,0,30.9,29.6,30,11.5,Mecca
2020-05-04,3,32.1,29.9,22,13.0,Mecca
2020-05-05,3,31.9,29.5,22,14.6,Mecca
2020-05-06,1,32.2,31.2,28,11.4,Mecca
2020-05-07,2,32.2,30.3,24,12.9,Mecca
2020-05-08,2,32.3,32.2,33,11.9,Mecca
2020-05-09,53,32.3,34.2,47,13.0,Mecca
2020-05-10,3,33.1,35.1,45,11.9,Mecca
2020-05-11,3,34.4,34.9,35,13.5,Mecca
2020-05-12,3,34.7,34.6,31,13.0,Mecca
2020-05-13,3,36.5,35.9,26,13.8,Mecca
2020-05-14,2,36.2,35.7,27,12.5,Mecca
2020-05-15,51,35.5,35.4,28,9.7,Mecca
2020-05-16,3,35.7,34.5,26,15.9,Mecca
2020-05-17,3,36.0,35.4,26,11.9,Mecca
2020-05-18,51,33.6,32.5,29,13.6,Mecca
2020-05-19,3,33.8,32.8,27,12.7,Mecca
2020-05-20,1,34.6,33.4,24,11.8,Mecca
2020-05-21,1,34.7,33.1,22,12.4,Mecca
2020-05-22,0,35.1,32.8,19,14.4,Mecca
2020-05-23,0,35.2,32.5,18,15.6,Mecca
2020-05-24,1,33.6,31.9,28,18.6,Mecca
2020-05-25,0,31.4,30.3,39,20.8,Mecca
2020-05-26,2,33.6,32.4,30,15.5,Mecca
2020-05-27,1,35.3,34.6,26,12.3,Mecca
2020-05-28,1,35.7,34.7,25,13.6,Mecca
2020-05-29,1,34.4,32.8,28,18.1,Mecca
2020-05-30,0,31.7,31.7,46,21.3,Mecca
2020-05-31,0,32.9,31.3,34,20.7,Mecca
2020-06-01,0,33.4,30.5,24,19.8,Mecca
2020-06-02,0,34.6,31.6,20,18.4,Mecca
2020-06-03,0,35.4,31.4,16,21.7,Mecca
2020-06-04,2,35.1,33.2,24,15.9,Mecca
2020-06-05,3,35.1,35.4,32,12.8,Mecca
2020-06-06,3,33.6,36.2,46,10.2,Mecca
2020-06-07,3,34.0,35.7,42,9.7,Mecca
2020-06-08,3,34.7,35.5,36,13.5,Mecca
2020-06-09,2,37.7,34.9,18,15.9,Mecca
2020-06-10,1,37.1,33.7,14,17.4,Mecca
2020-06-11,0,36.2,32.8,17,18.7,Mecca
2020-06-12,1,34.7,33.1,24,16.7,Mecca
2020-06-13,2,33.8,34.8,39,13.9,Mecca
2020-06-14,3,36.0,35.1,25,12.8,Mecca
2020-06-15,3,36.3,34.9,22,12.7,Mecca
2020-06-16,3,36.5,34.3,22,19.3,Mecca
2020-06-17,2,35.5,32.3,18,18.3,Mecca
2020-06-18,2,35.8,32.1,15,19.3,Mecca
2020-06-19,2,34.2,31.3,21,19.5,Mecca
2020-06-20,3,32.8,30.1,21,15.9,Mecca
2020-06-21,3,32.3,30.5,26,15.4,Mecca
2020-06-22,2,35.1,34.4,30,13.1,Mecca
2020-06-23,3,38.7,34.4,11,18.7,Mecca
2020-06-24,3,37.8,32.9,11,22.1,Mecca
2020-06-25,2,37.0,33.1,12,17.9,Mecca
2020-06-26,2,35.9,32.7,17,18.0,Mecca
2020-06-27,3,36.1,34.1,20,16.2,Mecca
2020-06-28,3,36.0,34.7,24,15.8,Mecca
2020-06-29,3,35.8,34.5,25,16.1,Mecca
2020-06-30,3,35.2,33.4,25,17.0,Mecca
2020-07-01,3,36.1,32.9,18,18.9,Mecca
2020-07-02,3,35.7,31.9,14,17.6,Mecca
2020-07-03,3,35.8,32.2,12,15.4,Mecca
2020-07-04,2,36.0,31.9,14,20.5,Mecca
2020-07-05,3,35.3,32.5,19,18.3,Mecca
2020-07-06,3,34.4,33.0,22,11.9,Mecca
2020-07-07,1,35.2,32.4,17,15.0,Mecca
2020-07-08,1,34.6,31.2,16,16.6,Mecca
2020-07-09,1,34.5,30.8,16,19.7,Mecca
2020-07-10,3,35.3,31.5,17,22.2,Mecca
2020-07-11,3,35.1,31.4,16,19.7,Mecca
2020-07-12,3,32.8,31.4,27,14.6,Mecca
2020-07-13,3,33.5,32.5,26,11.6,Mecca
2020-07-14,1,35.4,33.5,20,13.2,Mecca
2020-07-15,2,36.3,32.4,15,20.1,Mecca
2020-07-16,2,35.3,31.9,17,18.6,Mecca
2020-07-17,2,34.7,32.3,20,14.9,Mecca
2020-07-18,3,35.1,32.1,18,17.2,Mecca
2020-07-19,3,34.8,31.7,19,19.2,Mecca
2020-07-20,3,31.6,32.2,41,13.2,Mecca
2020-07-21,3,34.0,35.7,44,13.7,Mecca
2020-07-22,3,33.5,34.8,46,18.8,Mecca
2020-07-23,3,32.9,35.3,49,12.2,Mecca
2020-07-24,3,33.7,36.8,49,10.9,Mecca
2020-07-25,3,35.0,36.1,38,13.6,Mecca
2020-07-26,3,35.1,35.8,34,10.7,Mecca
2020-07-27,3,34.3,36.2,44,15.7,Mecca
2020-07-28,51,32.3,35.4,56,13.1,Mecca
2020-07-29,3,31.8,33.5,53,18.4,Mecca
2020-07-30,3,32.2,34.6,56,18.6,Mecca
2020-07-31,3,33.5,35.5,51,19.5,Mecca
2020-08-01,3,31.5,32.7,60,28.4,Mecca
2020-08-02,3,32.3,33.9,54,20.9,Mecca
2020-08-03,3,34.6,36.9,45,13.6,Mecca
2020-08-04,3,33.5,36.0,47,12.2,Mecca
2020-08-05,3,32.0,34.2,55,16.7,Mecca
2020-08-06,51,32.3,34.4,56,19.8,Mecca
2020-08-07,51,32.6,34.9,50,12.8,Mecca
2020-08-08,3,32.7,34.4,46,11.5,Mecca
2020-08-09,3,32.2,34.5,51,11.8,Mecca
2020-08-10,3,32.9,34.4,43,12.0,Mecca
2020-08-11,2,33.5,33.2,37,18.1,Mecca
2020-08-12,3,35.1,33.0,23,17.8,Mecca
2020-08-13,3,34.1,32.6,24,13.6,Mecca
2020-08-14,3,34.8,33.2,22,12.9,Mecca
2020-08-15,3,34.1,33.2,27,13.2,Mecca
2020-08-16,3,35.4,34.1,23,12.6,Mecca
2020-08-17,3,36.0,34.1,20,14.4,Mecca
2020-08-18,3,35.4,33.8,23,15.4,Mecca
2020-08-19,2,35.0,34.9,33,16.6,Mecca
2020-08-20,2,35.3,37.1,38,12.1,Mecca
2020-08-21,3,35.9,35.8,31,15.1,Mecca
2020-08-22,2,35.7,34.3,24,14.7,Mecca
2020-08-23,1,35.1,34.1,25,13.0,Mecca
2020-08-24,2,35.9,33.5,19,15.4,Mecca
2020-08-25,3,35.4,33.1,20,16.2,Mecca
2020-08-26,3,35.5,33.0,21,17.9,Mecca
2020-08-27,3,34.5,32.5,22,15.4,Mecca
2020-08-28,3,33.6,31.9,23,14.0,Mecca
2020-08-29,0,34.8,31.9,19,17.4,Mecca
2020-08-30,3,35.0,32.7,21,17.4,Mecca
2020-08-31,2,33.3,33.6,34,13.4,Mecca
2020-09-01,3,34.2,35.6,42,14.4,Mecca
2020-09-02,3,35.0,37.2,42,11.1,Mecca
2020-09-03,3,34.7,37.5,46,11.9,Mecca
2020-09-04,51,35.2,37.5,43,11.9,Mecca
2020-09-05,51,35.3,36.0,34,13.3,Mecca
2020-09-06,1,35.0,35.8,34,14.0,Mecca
2020-09-07,1,34.4,36.6,43,13.8,Mecca
2020-09-08,0,33.9,36.8,48,12.4,Mecca
2020-09-09,2,34.2,37.1,46,10.0,Mecca
2020-09-10,51,33.9,37.6,54,11.3,Mecca
2020-09-11,65,34.0,37.8,50,8.6,Mecca
2020-09-12,3,35.5,36.4,39,14.7,Mecca
2020-09-13,3,36.5,35.9,28,14.3,Mecca
2020-09-14,2,35.9,35.3,27,12.9,Mecca
2020-09-15,3,33.2,37.1,56,11.5,Mecca
2020-09-16,3,34.3,38.3,54,13.3,Mecca
2020-09-17,2,34.0,35.9,45,11.6,Mecca
2020-09-18,3,34.2,34.9,36,14.3,Mecca
2020-09-19,1,34.2,35.1,38,13.7,Mecca
2020-09-20,1,33.9,34.3,35,12.7,Mecca
2020-09-21,2,33.9,34.9,40,14.8,Mecca
2020-09-22,2,36.6,34.6,23,16.2,Mecca
2020-09-23,3,37.4,34.1,13,14.0,Mecca
2020-09-24,3,36.8,34.4,18,13.2,Mecca
2020-09-25,3,33.8,34.3,35,13.8,Mecca
2020-09-26,1,34.5,35.1,36,13.4,Mecca
2020-09-27,0,34.8,34.7,30,11.8,Mecca
2020-09-28,2,34.2,34.3,33,13.5,Mecca
2020-09-29,1,33.3,34.5,41,14.4,Mecca
2020-09-30,51,32.0,35.9,61,11.7,Mecca
2020-10-01,63,31.6,36.3,64,9.4,Mecca
2020-10-02,3,32.5,35.3,52,11.5,Mecca
2020-10-03,2,32.2,34.2,50,12.9,Mecca
2020-10-04,1,31.1,33.9,56,11.3,Mecca
2020-10-05,1,31.1,33.4,55,11.9,Mecca
2020-10-06,2,32.8,34.5,51,15.0,Mecca
2020-10-07,3,32.6,35.8,54,10.6,Mecca
2020-10-08,2,33.4,34.0,40,14.3,Mecca
2020-10-09,1,34.0,33.8,32,11.8,Mecca
2020-10-10,0,34.5,32.7,24,12.7,Mecca
2020-10-11,0,33.5,30.4,19,14.5,Mecca
2020-10-12,0,31.8,28.9,21,15.5,Mecca
2020-10-13,0,32.6,29.9,22,14.1,Mecca
2020-10-14,0,32.2,29.1,19,14.8,Mecca
2020-10-15,0,32.6,29.3,18,14.6,Mecca
2020-10-16,0,32.4,29.5,17,11.7,Mecca
2020-10-17,0,32.3,30.0,20,10.3,Mecca
2020-10-18,0,32.0,29.5,21,11.4,Mecca
2020-10-19,0,31.8,28.9,20,13.5,Mecca
2020-10-20,0,31.4,27.7,17,15.3,Mecca
2020-10-21,0,30.9,27.7,18,12.3,Mecca
2020-10-22,0,31.2,28.6,21,12.1,Mecca
2020-10-23,0,33.0,29.4,16,15.4,Mecca
2020-10-24,0,31.6,29.9,24,10.7,Mecca
2020-10-25,3,30.4,31.3,47,13.6,Mecca
2020-10-26,51,29.8,32.4,61,12.7,Mecca
2020-10-27,0,29.8,31.9,56,10.5,Mecca
2020-10-28,0,29.5,30.2,47,11.6,Mecca
2020-10-29,1,29.4,29.7,46,12.1,Mecca
2020-10-30,1,29.7,31.0,52,11.4,Mecca
2020-10-31,1,29.8,31.1,51,10.4,Mecca
2020-11-01,1,29.7,31.5,54,10.8,Mecca
2020-11-02,51,29.1,31.6,61,11.8,Mecca
2020-11-03,51,28.9,31.2,62,11.8,Mecca
2020-11-04,51,28.2,31.2,66,8.7,Mecca
2020-11-05,2,28.7,29.2,48,11.4,Mecca
2020-11-06,1,28.0,27.9,45,12.1,Mecca
2020-11-07,51,28.2,28.9,50,11.9,Mecca
2020-11-08,51,28.5,29.9,58,12.5,Mecca
2020-11-09,1,28.8,31.2,63,12.2,Mecca
2020-11-10,0,29.0,30.9,59,12.5,Mecca
2020-11-11,1,28.9,30.4,57,13.1,Mecca
2020-11-12,0,28.3,28.4,50,15.0,Mecca
2020-11-13,0,27.9,27.7,48,13.8,Mecca
2020-11-14,0,28.1,28.7,52,12.3,Mecca
2020-11-15,0,27.7,29.2,58,11.7,Mecca
2020-11-16,0,27.6,28.1,53,12.0,Mecca
2020-11-17,0,27.6,26.5,38,11.5,Mecca
2020-11-18,0,27.5,27.1,45,12.5,Mecca
2020-11-19,1,27.6,29.1,61,13.2,Mecca
2020-11-20,1,28.0,29.0,63,18.5,Mecca
2020-11-21,2,26.7,27.3,59,15.1,Mecca
2020-11-22,1,27.0,27.8,57,12.6,Mecca
2020-11-23,0,26.8,28.0,60,11.8,Mecca
2020-11-24,0,27.2,28.5,57,9.8,Mecca
2020-11-25,51,26.7,28.6,69,13.9,Mecca
2020-11-26,65,24.0,26.9,83,9.8,Mecca
2020-11-27,61,23.3,25.8,83,9.8,Mecca
2020-11-28,61,21.8,23.7,84,10.1,Mecca
2020-11-29,1,21.9,21.9,69,13.9,Mecca
2020-11-30,51,22.3,23.7,76,10.1,Mecca
2020-12-01,53,22.5,24.5,80,9.0,Mecca
2020-12-02,51,22.2,24.7,88,9.4,Mecca
2020-12-03,53,23.2,26.2,86,8.8,Mecca
2020-12-04,51,24.2,27.8,84,6.4,Mecca
2020-12-05,51,23.7,25.9,79,10.1,Mecca
2020-12-06,0,21.8,19.9,50,14.9,Mecca
2020-12-07,0,22.0,18.9,41,16.7,Mecca
2020-12-08,0,24.7,22.7,39,11.9,Mecca
2020-12-09,1,26.1,24.7,40,11.1,Mecca
2020-12-10,0,25.2,25.2,52,9.4,Mecca
2020-12-11,0,25.0,22.0,31,13.3,Mecca
2020-12-12,2,24.1,21.4,29,10.1,Mecca
2020-12-13,1,24.9,24.0,44,10.9,Mecca
2020-12-14,2,25.6,26.1,61,14.3,Mecca
2020-12-15,3,26.0,27.6,70,12.3,Mecca
2020-12-16,51,24.5,25.9,69,11.3,Mecca
2020-12-17,2,23.8,23.3,56,12.4,Mecca
2020-12-18,2,23.5,22.9,54,11.2,Mecca
2020-12-19,2,23.9,23.4,53,11.6,Mecca
2020-12-20,0,24.7,24.3,53,11.4,Mecca
2020-12-21,0,25.7,25.7,54,11.9,Mecca
2020-12-22,51,26.0,27.0,59,10.9,Mecca
2020-12-23,53,25.4,27.2,68,10.6,Mecca
2020-12-24,3,25.1,27.3,72,8.6,Mecca
2020-12-25,3,25.8,27.0,61,9.7,Mecca
2020-12-26,51,25.6,26.5,65,13.9,Mecca
2020-12-27,51,25.9,26.0,60,16.9,Mecca
2020-12-28,51,25.1,26.5,69,11.9,Mecca
2020-12-29,51,25.1,27.9,76,8.5,Mecca
2020-12-30,51,25.6,27.5,69,10.8,Mecca
2020-12-31,61,24.4,26.4,74,10.3,Mecca
2021-01-01,53,24.1,26.3,76,9.1,Mecca
2021-01-02,51,24.7,26.5,70,9.7,Mecca
2021-01-03,1,25.5,27.2,66,9.1,Mecca
2021-01-04,1,25.6,26.7,62,10.6,Mecca
2021-01-05,1,25.5,26.6,63,10.7,Mecca
2021-01-06,1,25.4,26.8,64,9.7,Mecca
2021-01-07,51,24.8,26.8,70,8.8,Mecca
2021-01-08,61,25.2,25.4,60,13.7,Mecca
2021-01-09,53,23.5,24.3,66,9.9,Mecca
2021-01-10,63,21.8,23.5,78,7.1,Mecca
2021-01-11,53,21.2,22.0,72,9.2,Mecca
2021-01-12,0,21.4,19.9,52,13.3,Mecca
2021-01-13,0,21.8,21.2,58,10.7,Mecca
2021-01-14,3,23.3,23.3,67,14.6,Mecca
2021-01-15,3,22.3,23.3,74,10.9,Mecca
2021-01-16,1,22.9,23.0,64,12.1,Mecca
2021-01-17,0,22.9,22.3,59,13.1,Mecca
2021-01-18,3,22.4,18.4,35,19.9,Mecca
2021-01-19,0,21.7,18.8,37,14.0,Mecca
2021-01-20,3,21.6,19.8,53,16.0,Mecca
2021-01-21,0,24.2,22.3,43,14.6,Mecca
2021-01-22,0,25.2,23.0,34,12.6,Mecca
2021-01-23,51,25.4,25.9,56,11.1,Mecca
2021-01-24,1,25.7,25.9,54,11.2,Mecca
2021-01-25,3,24.9,24.8,52,10.9,Mecca
2021-01-26,1,25.4,25.9,57,11.0,Mecca
2021-01-27,2,24.9,25.8,64,11.7,Mecca
2021-01-28,1,25.4,26.0,68,16.0,Mecca
2021-01-29,53,23.1,23.6,71,13.4,Mecca
2021-01-30,3,21.9,18.9,44,18.6,Mecca
2021-01-31,0,23.0,21.1,40,11.5,Mecca
2021-02-01,1,24.6,24.6,57,12.9,Mecca
2021-02-02,1,25.9,27.2,67,13.1,Mecca
2021-02-03,0,26.1,27.1,61,12.4,Mecca
2021-02-04,0,27.1,26.5,57,20.7,Mecca
2021-02-05,63,19.5,19.0,75,15.5,Mecca
2021-02-06,51,18.2,17.7,71,9.9,Mecca
2021-02-07,0,20.3,18.8,58,14.0,Mecca
2021-02-08,1,22.8,20.7,44,15.9,Mecca
2021-02-09,0,23.2,22.3,49,11.3,Mecca
2021-02-10,3,24.2,23.6,51,11.3,Mecca
2021-02-11,2,25.0,24.7,52,12.3,Mecca
2021-02-12,3,25.6,26.4,60,10.6,Mecca
2021-02-13,3,26.3,26.7,55,11.4,Mecca
2021-02-14,51,27.0,27.0,51,13.5,Mecca
2021-02-15,0,26.8,27.7,52,8.8,Mecca
2021-02-16,0,27.3,26.2,48,19.3,Mecca
2021-02-17,61,22.4,21.5,66,19.6,Mecca
2021-02-18,51,19.1,15.2,48,22.1,Mecca
2021-02-19,1,20.1,17.0,43,16.5,Mecca
2021-02-20,3,21.9,19.8,47,15.9,Mecca
2021-02-21,1,22.0,20.3,49,14.7,Mecca
2021-02-22,51,23.0,22.0,54,14.4,Mecca
2021-02-23,51,21.9,22.7,66,7.0,Mecca
2021-02-24,3,21.6,18.7,48,20.0,Mecca
2021-02-25,2,21.7,18.2,34,15.4,Mecca
2021-02-26,1,24.6,22.6,38,13.4,Mecca
2021-02-27,2,24.5,23.9,53,15.0,Mecca
2021-02-28,3,23.7,23.8,61,12.8,Mecca
2021-03-01,3,23.1,19.6,31,16.4,Mecca
2021-03-02,3,23.8,21.9,40,12.3,Mecca
2021-03-03,2,24.7,24.2,52,13.4,Mecca
2021-03-04,2,23.8,23.1,55,14.1,Mecca
2021-03-05,0,25.0,23.7,43,13.1,Mecca
2021-03-06,0,27.5,26.5,37,12.0,Mecca
2021-03-07,0,27.4,26.7,44,14.4,Mecca
2021-03-08,2,28.4,27.0,37,14.7,Mecca
2021-03-09,3,28.6,27.6,37,12.7,Mecca
2021-03-10,2,28.8,29.1,44,10.6,Mecca
2021-03-11,0,29.7,29.5,39,10.4,Mecca
2021-03-12,0,29.7,28.8,34,11.9,Mecca
2021-03-13,1,29.5,28.5,34,12.2,Mecca
2021-03-14,2,29.2,28.7,39,12.5,Mecca
2021-03-15,0,29.5,28.6,39,14.7,Mecca
2021-03-16,0,29.8,27.6,32,17.3,Mecca
2021-03-17,0,29.4,27.8,29,12.2,Mecca
2021-03-18,0,29.4,29.8,45,11.6,Mecca
2021-03-19,0,29.4,29.0,41,14.2,Mecca
2021-03-20,0,30.5,28.9,32,15.2,Mecca
2021-03-21,0,29.0,29.1,44,14.8,Mecca
2021-03-22,1,29.9,30.4,46,13.0,Mecca
2021-03-23,0,31.4,28.2,27,22.8,Mecca
2021-03-24,2,31.8,27.6,19,22.2,Mecca
2021-03-25,1,29.4,28.7,42,16.2,Mecca
2021-03-26,2,28.0,27.6,43,13.5,Mecca
2021-03-27,0,26.5,25.6,48,16.6,Mecca
2021-03-28,0,26.6,26.4,53,16.1,Mecca
2021-03-29,1,28.1,28.1,42,11.1,Mecca
2021-03-30,1,29.7,29.0,41,17.1,Mecca
2021-03-31,0,28.2,28.7,50,13.6,Mecca
2021-04-01,2,28.4,27.5,39,13.2,Mecca
2021-04-02,2,27.2,24.5,35,20.8,Mecca
2021-04-03,2,26.3,24.1,42,20.4,Mecca
2021-04-04,2,27.6,26.3,40,16.3,Mecca
2021-04-05,2,29.6,29.2,38,13.0,Mecca
2021-04-06,2,31.1,30.8,37,12.2,Mecca
2021-04-07,2,32.4,30.5,26,14.6,Mecca
