time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-01-01,3,17.9,16.8,79,16.3
2020-01-02,51,18.0,17.5,80,12.8
2020-01-03,3,18.8,18.8,82,13.0
2020-01-04,3,18.8,19.3,84,10.3
2020-01-05,3,19.5,19.3,82,16.8
2020-01-06,51,20.1,19.8,82,18.4
2020-01-07,51,20.7,23.0,90,7.6
2020-01-08,3,21.0,20.5,70,15.6
2020-01-09,3,19.3,18.3,80,20.5
2020-01-10,2,19.9,20.2,84,15.8
2020-01-11,51,19.9,20.1,78,13.5
2020-01-12,51,15.9,12.8,60,17.3
2020-01-13,53,17.2,16.2,78,14.2
2020-01-14,2,18.6,17.9,79,15.8
2020-01-15,3,19.4,18.5,81,20.4
2020-01-16,51,20.0,20.3,84,15.7
2020-01-17,51,17.1,14.4,60,17.6
2020-01-18,3,16.7,15.0,69,14.7
2020-01-19,53,16.2,14.9,82,16.0
2020-01-20,3,16.3,15.3,76,12.2
2020-01-21,3,18.2,17.8,82,13.8
2020-01-22,51,19.9,21.0,86,11.2
2020-01-23,3,20.5,22.4,91,10.5
2020-01-24,3,20.9,22.7,91,12.1
2020-01-25,63,19.9,19.8,85,18.5
2020-01-26,63,14.4,11.4,79,22.4
2020-01-27,51,11.9,8.2,68,19.4
2020-01-28,61,12.1,8.4,67,19.5
2020-01-29,3,12.9,8.9,56,18.9
2020-01-30,0,13.7,9.6,51,19.1
2020-01-31,0,14.4,11.1,53,15.5
2020-02-01,3,15.9,13.7,72,16.9
2020-02-02,51,17.5,16.2,78,17.9
2020-02-03,61,17.9,17.6,86,14.7
2020-02-04,53,16.4,15.3,84,14.9
2020-02-05,51,17.3,16.1,82,17.6
2020-02-06,3,18.0,15.9,80,24.6
2020-02-07,3,19.0,18.6,79,15.1
2020-02-08,3,17.0,15.2,72,16.4
2020-02-09,3,15.3,12.9,69,16.1
2020-02-10,3,16.1,15.1,75,10.9
2020-02-11,55,17.9,18.1,86,11.2
2020-02-12,3,19.3,21.2,92,6.9
2020-02-13,63,19.0,20.7,96,9.2
2020-02-14,61,20.8,22.0,94,17.5
2020-02-15,61,20.9,21.9,94,20.0
2020-02-16,61,11.4,6.8,79,28.5
2020-02-17,3,12.4,7.6,54,24.0
2020-02-18,0,13.6,10.3,58,16.6
2020-02-19,2,15.7,14.4,75,13.1
2020-02-20,2,17.0,16.2,78,13.5
2020-02-21,2,17.7,17.3,80,13.3
2020-02-22,0,18.0,17.7,78,12.0
2020-02-23,51,18.4,17.4,77,16.7
2020-02-24,51,18.8,18.3,81,16.3
2020-02-25,53,19.9,21.6,89,8.9
2020-02-26,51,20.1,22.3,91,7.5
2020-02-27,3,19.7,20.1,87,16.9
2020-02-28,3,19.8,19.9,83,16.8
2020-02-29,3,20.4,22.3,87,8.6
2020-03-01,51,20.8,23.4,90,7.0
2020-03-02,3,20.2,19.8,82,20.4
2020-03-03,51,20.1,19.5,81,21.2
2020-03-04,53,19.4,19.9,86,13.8
2020-03-05,55,17.4,16.4,83,17.4
2020-03-06,51,19.1,18.0,81,20.8
2020-03-07,3,21.1,22.7,91,14.9
2020-03-08,51,21.8,23.4,93,17.8
2020-03-09,51,22.6,24.4,93,18.9
2020-03-10,53,21.2,20.0,70,21.3
2020-03-11,61,18.5,16.8,74,20.8
2020-03-12,51,21.5,22.4,91,19.8
2020-03-13,51,21.9,24.5,95,12.2
2020-03-14,51,20.5,19.9,77,19.6
2020-03-15,3,19.4,18.4,67,15.2
2020-03-16,3,20.0,19.1,77,19.9
2020-03-17,3,20.7,21.5,85,15.8
2020-03-18,55,20.7,22.6,90,11.2
2020-03-19,55,21.2,23.6,92,10.0
2020-03-20,51,21.7,23.7,92,13.6
2020-03-21,53,22.6,25.0,95,15.6
2020-03-22,3,23.1,26.1,90,12.3
2020-03-23,3,23.1,26.4,91,10.9
2020-03-24,3,22.1,23.4,88,18.7
2020-03-25,3,22.2,23.8,87,15.9
2020-03-26,53,23.0,25.8,91,13.5
2020-03-27,3,23.2,26.4,94,12.8
2020-03-28,55,22.9,24.9,86,13.6
2020-03-29,53,22.0,21.6,84,26.2
2020-03-30,63,21.6,22.7,89,17.7
2020-03-31,61,20.2,21.7,92,12.4
2020-04-01,51,19.4,19.7,87,15.3
2020-04-02,51,21.8,21.7,85,24.1
2020-04-03,61,22.0,22.6,86,21.2
2020-04-04,51,21.2,22.4,86,14.7
2020-04-05,63,18.5,18.1,86,17.3
2020-04-06,61,17.9,17.6,90,16.7
2020-04-07,53,18.9,19.2,83,11.7
2020-04-08,51,20.2,20.6,78,12.8
2020-04-09,3,20.8,21.5,74,10.7
2020-04-10,3,21.1,21.8,81,16.2
