time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-01-01,3,17.2,14.4,80,27.6
2020-01-02,3,17.4,15.8,82,21.0
2020-01-03,3,18.3,17.5,83,18.7
2020-01-04,3,18.6,18.3,85,16.1
2020-01-05,3,18.9,17.0,86,28.2
2020-01-06,2,19.4,18.2,86,25.5
2020-01-07,3,20.0,21.8,93,10.4
2020-01-08,3,20.4,19.7,75,19.0
2020-01-09,3,18.4,15.7,84,31.4
2020-01-10,3,19.0,18.0,87,23.8
2020-01-11,3,19.7,19.8,84,16.4
2020-01-12,3,16.2,12.8,63,21.9
2020-01-13,53,17.0,15.0,79,21.7
2020-01-14,3,18.2,16.3,79,23.9
2020-01-15,51,18.6,16.2,84,30.4
2020-01-16,3,19.1,18.2,87,23.0
2020-01-17,3,17.0,13.9,62,20.4
2020-01-18,3,16.5,14.1,73,20.6
2020-01-19,51,16.8,15.0,78,19.1
2020-01-20,3,16.5,14.7,75,17.3
2020-01-21,3,18.3,16.8,82,22.5
2020-01-22,3,19.3,19.3,88,18.0
2020-01-23,3,20.3,21.7,93,13.9
2020-01-24,51,20.5,21.5,95,18.7
2020-01-25,61,19.3,17.6,88,30.1
2020-01-26,61,15.4,12.5,82,25.4
2020-01-27,51,12.9,8.8,68,23.6
2020-01-28,51,12.7,8.3,65,24.0
2020-01-29,3,13.4,8.6,56,24.5
2020-01-30,0,14.3,9.2,47,25.6
2020-01-31,0,14.6,10.2,52,22.3
2020-02-01,3,16.0,12.4,72,26.7
2020-02-02,51,16.8,13.7,82,29.2
2020-02-03,55,17.6,15.4,84,26.3
2020-02-04,51,16.9,14.5,83,25.7
2020-02-05,51,17.3,15.1,85,25.6
2020-02-06,51,17.2,13.7,83,34.1
2020-02-07,51,18.2,17.0,84,21.1
2020-02-08,3,16.5,14.2,76,21.0
2020-02-09,3,15.5,12.9,73,19.1
2020-02-10,3,16.0,13.9,74,17.7
2020-02-11,53,17.7,16.4,88,22.3
2020-02-12,3,18.8,20.0,94,12.0
2020-02-13,61,18.9,20.4,96,11.1
2020-02-14,63,19.6,20.3,94,17.2
2020-02-15,53,20.1,21.1,97,17.9
2020-02-16,61,13.0,7.7,77,35.3
2020-02-17,3,12.6,7.2,56,28.4
2020-02-18,0,13.7,9.4,59,23.8
2020-02-19,2,15.7,12.6,71,23.4
2020-02-20,3,17.0,14.6,76,23.7
2020-02-21,2,17.5,15.3,80,25.9
2020-02-22,0,18.5,18.2,80,15.1
2020-02-23,3,17.9,15.5,79,26.9
2020-02-24,3,18.2,16.6,83,24.0
2020-02-25,0,19.5,20.3,89,15.1
2020-02-26,3,19.8,22.0,93,8.0
2020-02-27,3,19.1,18.2,90,25.0
2020-02-28,3,18.7,17.7,86,23.5
2020-02-29,3,19.6,21.2,89,10.0
2020-03-01,3,20.2,22.8,94,7.8
2020-03-02,3,19.4,17.8,86,28.6
2020-03-03,3,19.0,17.1,86,29.4
2020-03-04,53,19.0,18.4,86,21.4
2020-03-05,55,17.1,15.1,84,23.6
2020-03-06,51,18.2,16.0,84,28.4
2020-03-07,53,19.9,20.9,93,16.3
2020-03-08,51,20.6,22.2,97,16.5
2020-03-09,53,21.1,23.0,97,16.1
2020-03-10,55,20.7,19.0,71,24.1
2020-03-11,61,18.4,15.5,78,29.7
2020-03-12,51,20.2,20.2,92,23.4
2020-03-13,51,20.7,23.0,96,12.1
2020-03-14,61,19.5,18.8,84,21.6
2020-03-15,3,18.8,17.1,70,20.0
2020-03-16,3,19.4,17.3,79,27.8
2020-03-17,51,19.9,19.3,86,22.4
2020-03-18,61,20.1,21.0,90,15.5
2020-03-19,53,20.5,22.3,93,12.4
2020-03-20,55,20.8,22.1,93,16.1
2020-03-21,51,21.5,23.5,96,15.4
2020-03-22,51,21.3,24.7,98,6.9
2020-03-23,3,21.2,24.2,98,9.5
2020-03-24,3,21.0,21.1,89,23.7
2020-03-25,3,21.2,21.9,89,20.9
2020-03-26,53,22.0,24.5,95,14.1
2020-03-27,51,22.1,24.9,97,13.8
2020-03-28,63,22.3,24.5,90,13.6
2020-03-29,51,21.3,19.3,85,35.9
2020-03-30,55,21.9,22.8,92,22.3
2020-03-31,61,21.9,23.4,93,19.1
2020-04-01,53,19.9,19.4,86,21.6
2020-04-02,51,21.0,19.4,87,33.6
2020-04-03,53,21.2,20.4,87,29.5
2020-04-04,51,20.9,20.8,86,22.8
2020-04-05,61,18.8,16.3,84,31.6
2020-04-06,61,17.9,15.5,85,29.0
2020-04-07,61,18.8,18.6,83,14.6
2020-04-08,51,20.0,18.8,71,20.3
2020-04-09,2,20.7,20.1,69,17.1
2020-04-10,3,20.8,19.9,80,25.9
2020-04-11,65,21.5,23.3,91,15.1
2020-04-12,61,19.1,15.6,62,28.5
2020-04-13,3,18.7,15.4,47,20.2
2020-04-14,3,20.2,19.6,66,12.5
2020-04-15,3,20.2,21.7,78,7.5
2020-04-16,3,21.1,23.8,89,7.9
2020-04-17,3,21.8,24.4,90,11.6
2020-04-18,3,21.9,25.3,95,7.7
2020-04-19,3,22.3,26.5,97,6.1
2020-04-20,3,22.9,27.1,98,9.0
2020-04-21,55,23.4,27.1,98,12.6
2020-04-22,63,22.5,23.2,92,25.7
2020-04-23,55,20.8,20.0,85,26.3
2020-04-24,53,19.5,19.1,82,18.4
2020-04-25,51,20.0,20.7,83,11.6
2020-04-26,53,21.6,23.4,77,8.2
2020-04-27,3,23.0,24.7,76,11.3
2020-04-28,3,22.8,22.9,73,20.3
2020-04-29,3,22.1,22.8,82,20.2
2020-04-30,3,22.5,25.1,86,11.4
2020-05-01,3,23.1,27.2,93,6.7
2020-05-02,2,23.3,27.2,94,9.2
2020-05-03,3,24.1,27.8,96,16.1
2020-05-04,51,24.7,28.9,97,16.6
2020-05-05,51,25.2,29.2,97,19.1
2020-05-06,51,25.6,30.5,98,15.3
2020-05-07,51,26.0,30.7,97,18.3
2020-05-08,51,26.3,30.7,96,19.8
2020-05-09,51,26.4,31.3,97,18.0
2020-05-10,51,26.5,32.0,96,13.8
2020-05-11,63,26.4,32.1,89,6.7
2020-05-12,63,25.7,30.6,88,7.5
2020-05-13,61,25.9,29.3,87,16.9
2020-05-14,51,26.5,29.2,84,22.1
2020-05-15,51,26.6,31.4,90,15.3
2020-05-16,51,26.3,32.3,95,9.3
2020-05-17,3,26.5,32.0,91,10.2
2020-05-18,63,26.1,29.2,89,20.8
2020-05-19,63,25.9,30.5,88,10.6
2020-05-20,63,26.0,30.0,89,15.2
2020-05-21,63,26.4,30.5,93,17.8
2020-05-22,65,27.2,31.1,91,21.6
2020-05-23,53,25.7,28.5,88,21.4
2020-05-24,51,26.1,29.4,85,17.5
2020-05-25,65,26.2,30.9,91,12.5
2020-05-26,63,26.6,31.7,92,12.2
2020-05-27,55,25.8,31.1,91,6.7
2020-05-28,55,26.1,30.9,89,9.5
2020-05-29,55,26.2,31.3,92,11.7
2020-05-30,65,26.3,29.5,90,22.4
2020-05-31,65,26.6,31.2,91,14.5
2020-06-01,61,27.3,32.3,91,14.7
2020-06-02,53,27.4,32.2,90,17.7
2020-06-03,51,27.9,32.1,87,21.7
2020-06-04,53,27.9,32.2,87,20.4
2020-06-05,61,28.2,32.2,88,23.2
2020-06-06,63,26.7,30.4,88,19.2
2020-06-07,65,26.4,30.7,92,16.4
2020-06-08,65,27.1,31.5,91,17.6
2020-06-09,61,27.9,32.7,89,18.1
2020-06-10,53,27.8,33.2,90,15.1
2020-06-11,53,27.6,33.2,90,13.2
2020-06-12,53,27.4,33.2,88,10.5
2020-06-13,61,28.0,31.7,88,25.4
2020-06-14,61,27.6,29.7,85,31.5
2020-06-15,63,27.5,31.1,86,22.4
2020-06-16,51,28.0,31.8,83,21.0
2020-06-17,51,28.0,32.0,84,21.4
2020-06-18,51,28.0,32.4,86,19.3
2020-06-19,51,28.1,33.3,87,16.7
2020-06-20,51,28.2,33.2,87,17.6
2020-06-21,55,28.2,32.3,88,24.3
2020-06-22,55,28.5,32.6,86,24.4
2020-06-23,53,28.6,32.7,87,25.3
2020-06-24,53,28.5,32.4,87,26.2
2020-06-25,55,28.1,31.8,86,24.9
2020-06-26,55,28.4,32.7,88,23.3
2020-06-27,55,28.0,32.7,88,18.1
2020-06-28,51,28.2,33.2,86,16.9
2020-06-29,61,27.8,33.1,86,13.0
