time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-01-01,3,20.1,18.8,65,14.2
2020-01-02,3,20.8,21.5,77,10.9
2020-01-03,2,21.0,21.3,68,8.0
2020-01-04,0,21.8,20.0,49,12.6
2020-01-05,53,22.6,20.9,57,20.2
2020-01-06,61,20.6,19.3,64,16.6
2020-01-07,1,18.4,17.4,64,10.1
2020-01-08,0,18.8,17.0,60,12.5
2020-01-09,63,19.8,18.0,57,13.7
2020-01-10,63,19.1,18.4,79,18.0
2020-01-11,65,18.8,17.2,78,22.3
2020-01-12,61,16.2,12.2,69,27.7
2020-01-13,3,17.0,15.2,63,12.4
2020-01-14,51,17.4,14.8,67,20.4
2020-01-15,53,15.5,13.2,73,16.4
2020-01-16,0,14.8,12.9,68,10.6
2020-01-17,0,15.4,13.7,69,11.3
2020-01-18,3,16.0,15.0,73,9.7
2020-01-19,3,17.2,16.2,70,10.1
2020-01-20,0,17.7,16.5,74,14.0
2020-01-21,0,17.8,16.9,72,11.9
2020-01-22,0,17.0,15.9,74,12.4
2020-01-23,2,20.2,19.0,73,20.2
2020-01-24,51,18.4,17.5,74,14.6
2020-01-25,0,17.0,16.4,73,9.5
2020-01-26,53,16.6,12.8,64,26.0
2020-01-27,51,17.6,15.0,63,18.8
2020-01-28,3,16.9,15.6,68,10.0
2020-01-29,3,16.0,14.9,70,9.1
2020-01-30,2,16.4,15.4,74,10.6
2020-01-31,0,16.1,15.4,77,9.4
2020-02-01,2,16.7,16.1,73,7.9
2020-02-02,3,17.4,15.9,68,11.8
2020-02-03,2,18.1,14.9,59,22.5
2020-02-04,0,17.4,16.0,64,11.2
2020-02-05,0,16.5,15.6,72,9.1
2020-02-06,0,18.1,18.3,81,9.3
2020-02-07,3,18.9,19.5,81,8.4
2020-02-08,3,19.7,19.5,68,7.6
2020-02-09,0,22.4,20.1,49,17.8
2020-02-10,3,22.0,20.8,62,17.3
2020-02-11,53,20.3,19.2,66,14.8
2020-02-12,51,17.2,12.7,55,28.2
2020-02-13,1,16.9,14.5,63,16.5
2020-02-14,0,16.7,15.6,69,10.0
2020-02-15,0,16.8,16.5,81,10.6
2020-02-16,3,19.1,18.3,70,11.8
