time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-01-01,51,27.1,31.2,73,7.2
2020-01-02,53,27.0,31.6,77,5.1
2020-01-03,61,27.0,32.0,81,5.1
2020-01-04,53,27.4,32.3,76,5.2
2020-01-05,51,27.1,31.9,77,4.8
2020-01-06,51,27.0,31.5,75,4.7
2020-01-07,51,27.6,32.8,77,4.4
2020-01-08,53,27.7,33.0,80,5.1
2020-01-09,51,27.3,32.4,79,5.1
2020-01-10,61,26.8,31.9,80,3.5
2020-01-11,61,27.0,32.5,82,3.7
2020-01-12,63,26.4,31.9,86,4.1
2020-01-13,53,26.5,31.7,85,4.6
2020-01-14,53,27.4,32.3,76,5.2
2020-01-15,51,27.9,32.4,73,5.7
2020-01-16,51,27.0,32.0,79,4.2
2020-01-17,53,27.3,32.3,79,5.2
2020-01-18,63,27.2,32.5,80,4.2
2020-01-19,55,27.5,32.7,79,4.8
2020-01-20,61,27.9,33.0,76,4.1
2020-01-21,51,27.9,32.6,76,6.8
2020-01-22,51,27.7,32.4,77,7.0
2020-01-23,51,27.7,32.3,73,4.6
2020-01-24,51,28.4,32.9,71,6.2
2020-01-25,51,28.5,32.2,65,6.0
2020-01-26,61,27.8,32.6,76,5.7
2020-01-27,53,26.9,31.9,82,5.0
2020-01-28,63,26.9,32.1,83,5.0
2020-01-29,63,25.1,30.0,90,5.5
2020-01-30,53,26.1,31.2,84,3.6
2020-01-31,53,26.8,31.5,80,4.6
2020-02-01,53,27.6,32.3,77,7.1
2020-02-02,53,27.7,32.1,73,6.5
2020-02-03,51,27.0,31.5,74,4.8
2020-02-04,51,26.9,31.6,76,5.2
2020-02-05,53,27.5,31.9,72,4.8
2020-02-06,51,27.9,32.4,71,4.5
2020-02-07,65,27.4,32.4,80,5.4
2020-02-08,53,27.1,31.6,76,5.8
2020-02-09,63,26.2,31.0,81,4.3
2020-02-10,65,25.6,30.7,87,4.2
2020-02-11,53,26.6,31.5,84,6.3
2020-02-12,51,27.8,32.8,77,5.9
2020-02-13,63,27.4,32.8,80,4.8
2020-02-14,63,26.6,32.3,89,6.2
2020-02-15,61,26.3,31.6,87,5.7
2020-02-16,63,26.9,32.7,85,3.6
2020-02-17,61,26.9,32.8,86,4.0
2020-02-18,55,26.0,31.0,86,5.6
2020-02-19,3,27.0,31.4,76,5.0
2020-02-20,51,27.7,31.6,71,7.7
2020-02-21,51,27.0,31.3,76,7.1
2020-02-22,51,27.0,30.7,72,8.1
2020-02-23,51,26.8,30.5,74,7.9
2020-02-24,51,27.5,31.8,73,6.7
2020-02-25,3,27.9,32.1,70,6.0
2020-02-26,3,28.4,32.7,68,6.8
2020-02-27,51,28.3,32.1,69,8.9
2020-02-28,3,28.8,32.5,64,7.3
2020-02-29,3,28.7,32.5,66,8.6
2020-03-01,51,28.7,33.2,70,6.0
2020-03-02,61,28.7,33.2,69,6.8
2020-03-03,53,29.0,33.8,70,5.6
2020-03-04,51,29.3,34.3,69,3.9
2020-03-05,65,27.1,32.3,81,4.9
2020-03-06,63,26.3,31.7,87,4.9
2020-03-07,63,26.4,31.6,85,4.8
2020-03-08,51,27.4,33.1,84,5.6
2020-03-09,63,28.0,34.2,83,3.8
2020-03-10,61,28.4,34.9,83,4.2
2020-03-11,63,27.7,33.8,84,5.1
2020-03-12,53,27.7,33.8,83,4.4
2020-03-13,53,27.3,33.2,84,4.3
2020-03-14,51,28.0,33.7,80,4.8
2020-03-15,63,28.2,33.5,78,7.2
