time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-01-01,0,8.9,4.8,58,13.9
2020-01-02,51,9.4,5.8,57,11.2
2020-01-03,51,9.9,6.6,58,10.1
2020-01-04,2,9.4,5.0,51,15.2
2020-01-05,51,9.1,5.4,52,10.7
2020-01-06,63,12.1,9.4,88,19.5
2020-01-07,63,10.0,8.4,91,8.6
2020-01-08,3,10.9,6.3,56,19.1
2020-01-09,3,10.0,4.8,46,20.4
2020-01-10,0,8.3,2.8,42,19.6
2020-01-11,3,7.3,4.1,56,6.7
2020-01-12,3,10.2,7.4,61,8.0
2020-01-13,0,10.5,7.3,58,10.6
2020-01-14,51,10.1,8.0,76,8.3
2020-01-15,3,10.7,8.5,72,7.8
2020-01-16,3,10.7,7.6,57,10.1
2020-01-17,3,10.2,6.9,56,9.7
2020-01-18,1,9.4,5.2,51,13.7
2020-01-19,3,7.8,2.8,42,16.1
2020-01-20,2,7.9,1.9,39,21.3
2020-01-21,0,8.3,1.7,40,26.3
2020-01-22,0,9.0,3.3,37,19.8
2020-01-23,3,8.1,4.0,47,10.6
2020-01-24,0,7.4,0.9,35,24.3
2020-01-25,0,7.2,3.4,50,9.1
2020-01-26,3,7.5,4.7,68,7.1
2020-01-27,51,9.0,6.8,72,5.5
2020-01-28,53,10.6,9.2,88,7.2
2020-01-29,3,9.4,7.2,76,7.2
2020-01-30,51,11.9,10.4,81,8.2
2020-01-31,0,9.3,3.8,42,19.7
2020-02-01,1,9.0,5.3,51,10.1
2020-02-02,51,10.1,7.9,73,7.9
2020-02-03,53,11.8,10.9,89,5.9
2020-02-04,51,12.7,12.0,86,5.9
2020-02-05,53,14.2,11.1,86,25.6
2020-02-06,61,12.7,8.8,76,24.5
2020-02-07,61,8.5,4.8,72,15.0
2020-02-08,0,5.5,-1.1,36,24.1
2020-02-09,0,3.7,-2.8,35,22.2
2020-02-10,0,6.2,1.3,42,14.0
2020-02-11,51,6.8,4.3,74,5.9
2020-02-12,55,9.6,8.0,90,7.9
2020-02-13,61,12.4,11.2,90,9.4
2020-02-14,63,11.0,9.7,87,7.2
2020-02-15,53,10.8,9.1,80,6.9
2020-02-16,51,12.9,9.3,57,15.4
2020-02-17,0,12.3,8.5,48,13.5
2020-02-18,0,10.1,7.0,57,8.8
2020-02-19,0,11.0,7.8,59,10.9
2020-02-20,51,10.3,8.2,70,7.2
2020-02-21,63,11.0,9.9,89,6.6
2020-02-22,53,10.9,7.8,63,11.5
2020-02-23,61,10.0,7.5,73,9.4
2020-02-24,1,10.5,7.7,63,9.3
2020-02-25,0,12.5,8.5,48,15.6
2020-02-26,51,10.9,8.5,61,7.2
2020-02-27,61,13.2,11.6,90,14.9
2020-02-28,63,14.3,12.8,86,14.8
2020-02-29,53,11.2,7.9,72,16.3
2020-03-01,3,12.8,8.7,51,17.4
2020-03-02,2,10.2,7.9,67,7.0
2020-03-03,2,10.7,9.0,73,5.7
2020-03-04,3,11.9,10.2,73,7.3
2020-03-05,63,13.2,11.5,77,10.4
2020-03-06,53,13.2,11.9,75,7.5
