time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),city
2020-01-01,53,5.6,1.1,76,17.7,Istanbul
2020-01-02,53,5.6,0.4,86,25.2,Istanbul
2020-01-03,51,5.9,2.1,76,13.8,Istanbul
2020-01-04,3,5.9,2.8,74,8.0,Istanbul
2020-01-05,53,6.6,3.1,80,13.1,Istanbul
2020-01-06,63,6.9,-0.2,87,39.8,Istanbul
2020-01-07,61,6.1,-1.9,85,44.9,Istanbul
2020-01-08,53,5.0,-1.4,77,30.6,Istanbul
2020-01-09,3,4.9,0.4,74,17.0,Istanbul
2020-01-10,3,5.0,2.3,75,4.7,Istanbul
2020-01-11,3,7.0,4.3,76,7.6,Istanbul
2020-01-12,51,7.6,4.6,86,13.2,Istanbul
2020-01-13,51,7.2,4.0,84,13.0,Istanbul
2020-01-14,3,6.2,3.8,84,6.1,Istanbul
2020-01-15,3,7.0,3.8,84,13.0,Istanbul
2020-01-16,51,8.2,3.8,80,21.4,Istanbul
2020-01-17,3,7.2,1.9,77,25.7,Istanbul
2020-01-18,51,7.1,2.3,76,21.5,Istanbul
2020-01-19,51,5.9,1.7,77,16.5,Istanbul
2020-01-20,53,5.3,-0.2,78,25.3,Istanbul
2020-01-21,51,3.8,-0.6,74,15.1,Istanbul
2020-01-22,3,4.2,0.8,78,9.5,Istanbul
2020-01-23,3,5.9,0.7,66,21.5,Istanbul
2020-01-24,3,4.9,1.3,61,8.4,Istanbul
2020-01-25,1,7.3,3.2,72,16.8,Istanbul
2020-01-26,3,9.7,6.3,74,15.3,Istanbul
2020-01-27,53,9.9,7.5,76,9.8,Istanbul
2020-01-28,61,9.1,6.6,88,12.6,Istanbul
2020-01-29,63,10.5,6.4,82,23.5,Istanbul
2020-01-30,63,6.8,3.7,81,11.5,Istanbul
2020-01-31,3,6.1,1.7,71,16.3,Istanbul
2020-02-01,51,10.0,6.3,77,18.6,Istanbul
2020-02-02,2,11.0,7.8,77,16.4,Istanbul
2020-02-03,51,12.2,8.2,79,25.4,Istanbul
2020-02-04,51,12.2,9.7,83,16.4,Istanbul
2020-02-05,63,12.8,8.7,77,26.2,Istanbul
2020-02-06,53,5.5,0.1,82,25.7,Istanbul
2020-02-07,71,4.1,-1.0,69,19.1,Istanbul
2020-02-08,73,0.7,-5.8,63,25.2,Istanbul
2020-02-09,3,1.4,-3.2,57,11.0,Istanbul
2020-02-10,3,5.5,0.6,61,17.7,Istanbul
2020-02-11,51,10.0,4.5,68,28.6,Istanbul
2020-02-12,61,8.1,5.2,79,11.1,Istanbul
2020-02-13,3,7.6,4.4,65,8.4,Istanbul
2020-02-14,3,6.6,3.1,67,10.4,Istanbul
2020-02-15,53,8.3,5.1,85,14.8,Istanbul
2020-02-16,3,7.6,2.8,78,23.2,Istanbul
2020-02-17,3,6.4,2.8,79,14.1,Istanbul
2020-02-18,1,6.1,3.7,83,6.5,Istanbul
2020-02-19,3,8.0,5.9,87,7.3,Istanbul
2020-02-20,53,7.5,4.8,92,12.2,Istanbul
2020-02-21,53,6.9,2.2,84,22.9,Istanbul
2020-02-22,3,6.5,1.7,69,19.3,Istanbul
2020-02-23,2,6.1,2.6,68,10.1,Istanbul
2020-02-24,51,8.7,3.9,70,22.6,Istanbul
2020-02-25,3,7.6,4.4,69,10.3,Istanbul
2020-02-26,3,12.5,7.5,60,25.7,Istanbul
2020-02-27,63,14.3,8.2,68,38.6,Istanbul
2020-02-28,53,9.2,6.9,79,8.6,Istanbul
2020-02-29,55,7.8,3.8,85,20.3,Istanbul
2020-03-01,3,6.7,4.3,82,6.8,Istanbul
2020-03-02,3,9.3,6.0,77,15.0,Istanbul
2020-03-03,3,14.0,10.4,63,19.7,Istanbul
2020-03-04,3,13.3,11.7,70,7.2,Istanbul
2020-03-05,61,12.5,11.2,79,6.6,Istanbul
2020-03-06,63,10.3,8.7,87,8.1,Istanbul
2020-03-07,3,13.1,10.0,67,16.5,Istanbul
2020-03-08,3,14.6,13.0,65,7.3,Istanbul
2020-03-09,3,13.8,11.0,67,14.7,Istanbul
2020-03-10,55,10.0,7.6,92,14.2,Istanbul
2020-03-11,51,11.6,10.4,85,7.3,Istanbul
2020-03-12,0,11.5,9.5,79,10.6,Istanbul
2020-03-13,1,10.6,7.9,82,15.3,Istanbul
2020-03-14,3,9.4,7.1,88,11.6,Istanbul
2020-03-15,55,8.3,2.9,82,28.9,Istanbul
2020-03-16,51,6.4,-0.6,56,31.7,Istanbul
2020-03-17,3,5.9,1.4,57,15.0,Istanbul
2020-03-18,51,5.2,0.5,67,17.1,Istanbul
2020-03-19,51,7.1,1.8,67,22.6,Istanbul
2020-03-20,2,7.3,4.5,72,7.8,Istanbul
2020-03-21,3,8.0,5.6,70,6.7,Istanbul
2020-03-22,3,9.9,6.9,79,15.1,Istanbul
2020-03-23,51,9.1,5.2,85,20.8,Istanbul
2020-03-24,51,8.3,3.3,83,26.9,Istanbul
2020-03-25,3,7.9,2.8,80,26.0,Istanbul
2020-03-26,3,8.9,3.6,80,29.1,Istanbul
2020-03-27,3,9.2,5.5,82,18.7,Istanbul
2020-03-28,53,8.6,6.2,87,10.3,Istanbul
2020-03-29,61,9.4,6.3,89,16.6,Istanbul
2020-03-30,3,10.7,8.1,81,14.9,Istanbul
2020-03-31,51,8.9,4.7,81,21.9,Istanbul
2020-04-01,3,7.9,3.0,80,24.7,Istanbul
2020-04-02,63,8.3,3.3,85,26.9,Istanbul
2020-04-03,61,7.3,4.5,82,10.0,Istanbul
2020-04-04,55,8.2,5.0,88,16.1,Istanbul
2020-04-05,61,9.5,3.4,89,38.3,Istanbul
2020-04-06,51,9.4,1.9,69,41.5,Istanbul
2020-04-07,1,9.4,1.9,59,40.3,Istanbul
2020-04-08,3,9.2,3.2,65,31.0,Istanbul
2020-04-09,2,8.9,5.2,74,17.5,Istanbul
2020-04-10,1,9.4,7.8,80,6.6,Istanbul
2020-04-11,3,11.1,8.3,70,13.3,Istanbul
2020-04-12,1,10.3,6.5,69,18.9,Istanbul
2020-04-13,3,9.8,7.7,75,8.8,Istanbul
2020-04-14,3,14.0,11.6,69,15.2,Istanbul
2020-04-15,55,9.8,5.1,80,26.5,Istanbul
2020-04-16,3,9.3,5.6,65,16.1,Istanbul
2020-04-17,3,10.6,8.5,66,8.0,Istanbul
2020-04-18,3,12.9,11.3,74,10.3,Istanbul
2020-04-19,3,14.9,13.8,70,8.3,Istanbul
2020-04-20,3,12.8,9.7,78,20.6,Istanbul
2020-04-21,53,10.4,6.1,73,22.8,Istanbul
2020-04-22,3,10.3,4.9,63,26.5,Istanbul
2020-04-23,3,9.8,5.2,64,21.5,Istanbul
2020-04-24,2,10.3,6.1,72,23.1,Istanbul
2020-04-25,3,9.4,7.5,78,8.3,Istanbul
2020-04-26,3,13.5,11.2,68,12.7,Istanbul
2020-04-27,2,14.0,12.2,71,12.2,Istanbul
2020-04-28,1,14.9,12.6,59,12.3,Istanbul
2020-04-29,3,15.7,14.2,60,8.6,Istanbul
2020-04-30,3,16.4,15.5,70,9.7,Istanbul
2020-05-01,3,16.3,16.1,82,9.9,Istanbul
2020-05-02,51,16.9,16.5,76,10.0,Istanbul
2020-05-03,63,16.1,16.1,83,7.0,Istanbul
2020-05-04,61,13.6,13.1,93,9.0,Istanbul
2020-05-05,53,14.4,13.5,87,11.2,Istanbul
2020-05-06,51,15.8,14.6,79,14.3,Istanbul
2020-05-07,61,12.4,10.4,74,11.4,Istanbul
2020-05-08,61,14.3,13.0,75,9.5,Istanbul
2020-05-09,3,14.7,13.6,64,6.7,Istanbul
2020-05-10,3,16.2,15.4,62,6.5,Istanbul
2020-05-11,3,18.2,17.7,65,8.2,Istanbul
2020-05-12,3,21.2,18.8,52,20.2,Istanbul
2020-05-13,1,17.2,15.5,75,19.6,Istanbul
2020-05-14,3,16.6,17.0,86,9.3,Istanbul
2020-05-15,3,20.9,21.3,73,12.6,Istanbul
2020-05-16,3,22.4,21.7,63,16.9,Istanbul
2020-05-17,3,21.4,21.7,72,13.9,Istanbul
2020-05-18,3,19.5,18.1,72,20.2,Istanbul
2020-05-19,3,20.7,18.4,58,21.7,Istanbul
2020-05-20,3,20.4,20.6,69,12.0,Istanbul
2020-05-21,51,17.6,15.6,79,23.6,Istanbul
2020-05-22,63,14.1,10.8,73,22.0,Istanbul
2020-05-23,61,13.0,10.7,72,12.7,Istanbul
2020-05-24,3,13.5,12.7,72,5.5,Istanbul
2020-05-25,51,15.0,13.7,78,11.7,Istanbul
2020-05-26,51,15.6,13.6,71,15.5,Istanbul
2020-05-27,55,14.1,11.1,78,21.2,Istanbul
2020-05-28,61,14.4,13.9,85,8.4,Istanbul
2020-05-29,51,15.5,15.0,82,10.0,Istanbul
2020-05-30,51,16.8,16.3,77,11.8,Istanbul
2020-05-31,2,18.0,17.5,70,10.5,Istanbul
2020-06-01,61,16.3,16.1,83,9.7,Istanbul
2020-06-02,63,16.7,16.9,75,4.9,Istanbul
2020-06-03,63,15.9,15.9,79,6.4,Istanbul
2020-06-04,51,18.1,17.6,72,11.9,Istanbul
2020-06-05,3,20.6,20.2,62,12.1,Istanbul
2020-06-06,3,22.8,23.4,63,9.6,Istanbul
2020-06-07,1,21.2,21.7,71,11.5,Istanbul
2020-06-08,3,21.0,22.1,73,9.2,Istanbul
2020-06-09,3,23.2,24.4,63,7.4,Istanbul
2020-06-10,2,23.2,22.8,58,14.2,Istanbul
2020-06-11,3,21.5,23.1,79,9.7,Istanbul
2020-06-12,53,21.4,21.8,74,15.0,Istanbul
2020-06-13,51,21.0,21.7,77,11.4,Istanbul
2020-06-14,63,20.9,21.8,82,13.5,Istanbul
2020-06-15,61,21.9,23.3,82,12.4,Istanbul
2020-06-16,3,22.6,25.0,79,7.4,Istanbul
2020-06-17,1,23.0,25.3,77,8.2,Istanbul
2020-06-18,63,20.9,23.5,88,6.1,Istanbul
2020-06-19,63,20.8,22.9,88,8.9,Istanbul
2020-06-20,53,23.1,24.9,77,11.0,Istanbul
2020-06-21,3,23.4,24.9,73,11.5,Istanbul
2020-06-22,51,22.2,24.0,79,9.7,Istanbul
2020-06-23,53,22.3,24.6,82,7.9,Istanbul
2020-06-24,63,22.1,23.7,81,11.1,Istanbul
2020-06-25,51,22.8,24.7,82,13.2,Istanbul
2020-06-26,51,23.0,23.6,80,20.2,Istanbul
2020-06-27,0,23.3,23.7,74,20.4,Istanbul
2020-06-28,0,23.6,24.2,71,18.3,Istanbul
2020-06-29,3,23.8,25.0,71,13.1,Istanbul
2020-06-30,3,24.4,26.0,64,6.6,Istanbul
2020-07-01,1,26.0,27.8,65,13.1,Istanbul
2020-07-02,2,25.7,27.5,76,19.9,Istanbul
