time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),city
2020-01-01,51,3.0,0.2,98,7.9,Paris
2020-01-02,51,7.3,4.8,95,11.1,Paris
2020-01-03,51,9.8,6.4,88,20.0,Paris
2020-01-04,3,6.3,3.2,87,11.8,Paris
2020-01-05,3,5.8,3.7,92,5.2,Paris
2020-01-06,3,3.4,-0.2,90,12.1,Paris
2020-01-07,3,8.0,5.3,92,13.1,Paris
2020-01-08,51,11.3,9.2,94,14.8,Paris
2020-01-09,61,11.5,8.3,91,22.5,Paris
2020-01-10,51,7.7,4.2,86,16.6,Paris
2020-01-11,3,4.7,1.4,82,10.4,Paris
2020-01-12,3,6.2,2.3,87,17.4,Paris
2020-01-13,53,8.4,4.8,91,19.4,Paris
2020-01-14,53,10.2,4.3,68,31.5,Paris
2020-01-15,3,10.0,5.4,71,23.4,Paris
2020-01-16,3,8.4,5.2,85,15.1,Paris
2020-01-17,55,9.4,5.4,75,19.5,Paris
2020-01-18,51,5.0,1.4,83,12.5,Paris
2020-01-19,51,3.2,-0.8,84,13.7,Paris
2020-01-20,3,2.6,-1.4,87,13.6,Paris
2020-01-21,0,0.7,-2.8,89,7.9,Paris
2020-01-22,3,-0.8,-4.5,91,8.8,Paris
2020-01-23,1,0.3,-3.5,87,10.2,Paris
2020-01-24,2,-0.4,-3.4,93,4.6,Paris
2020-01-25,3,0.5,-2.5,98,6.4,Paris
2020-01-26,61,5.0,1.9,94,11.9,Paris
2020-01-27,61,8.5,4.1,90,24.5,Paris
2020-01-28,53,6.2,0.3,79,29.3,Paris
2020-01-29,51,6.3,1.9,81,19.4,Paris
2020-01-30,61,8.2,4.8,92,19.1,Paris
2020-01-31,51,12.0,9.3,88,18.6,Paris
2020-02-01,63,12.5,9.1,85,23.6,Paris
2020-02-02,61,12.7,9.8,90,22.3,Paris
2020-02-03,63,12.2,9.4,85,19.1,Paris
2020-02-04,61,6.7,1.5,76,24.4,Paris
2020-02-05,3,6.4,3.4,79,9.3,Paris
2020-02-06,3,3.8,0.6,82,8.0,Paris
2020-02-07,3,5.2,1.8,77,11.1,Paris
2020-02-08,53,8.7,5.7,86,14.8,Paris
2020-02-09,53,9.7,3.9,84,34.5,Paris
2020-02-10,61,10.1,3.5,73,37.2,Paris
2020-02-11,53,6.4,0.5,73,28.4,Paris
2020-02-12,51,5.9,1.0,72,20.0,Paris
2020-02-13,61,8.2,2.7,78,28.4,Paris
2020-02-14,3,9.2,5.8,75,14.6,Paris
2020-02-15,53,10.3,6.4,80,20.9,Paris
2020-02-16,61,13.9,8.2,69,35.8,Paris
2020-02-17,53,9.2,4.7,74,22.2,Paris
2020-02-18,3,7.2,2.5,74,20.6,Paris
2020-02-19,63,7.3,3.1,80,19.1,Paris
2020-02-20,61,8.7,4.4,84,22.9,Paris
2020-02-21,3,6.1,2.1,74,15.0,Paris
2020-02-22,51,8.2,4.1,78,19.5,Paris
2020-02-23,51,11.3,7.2,84,26.0,Paris
2020-02-24,51,11.6,7.8,83,23.7,Paris
2020-02-25,61,8.6,4.1,81,23.5,Paris
2020-02-26,73,4.4,-1.3,79,25.6,Paris
2020-02-27,73,5.4,-0.2,78,25.8,Paris
2020-02-28,53,5.1,0.9,83,17.9,Paris
2020-02-29,53,9.3,4.0,76,28.4,Paris
2020-03-01,63,6.3,1.5,83,22.9,Paris
2020-03-02,61,6.6,2.3,85,19.8,Paris
2020-03-03,53,5.1,1.3,80,13.2,Paris
2020-03-04,53,5.4,1.7,87,15.0,Paris
2020-03-05,61,9.0,5.5,91,19.2,Paris
2020-03-06,51,6.6,2.0,77,20.3,Paris
2020-03-07,51,6.7,3.4,77,10.8,Paris
2020-03-08,61,8.9,4.7,84,22.7,Paris
2020-03-09,51,7.7,3.7,77,17.6,Paris
2020-03-10,55,11.1,7.3,88,25.0,Paris
2020-03-11,51,13.7,10.1,78,24.5,Paris
2020-03-12,51,10.8,6.5,71,22.1,Paris
2020-03-13,3,7.5,3.3,66,15.5,Paris
2020-03-14,53,7.7,5.0,85,11.3,Paris
2020-03-15,3,10.1,7.1,80,14.4,Paris
2020-03-16,51,9.0,6.9,84,7.5,Paris
2020-03-17,3,9.5,7.9,81,5.0,Paris
2020-03-18,51,11.3,10.1,83,5.2,Paris
2020-03-19,2,12.3,11.1,81,5.7,Paris
2020-03-20,53,11.3,9.1,84,12.9,Paris
2020-03-21,51,7.5,3.2,78,19.8,Paris
2020-03-22,3,7.3,2.4,63,20.1,Paris
2020-03-23,0,5.9,1.0,50,16.5,Paris
2020-03-24,0,5.5,1.1,49,11.9,Paris
2020-03-25,0,5.4,1.1,51,12.3,Paris
2020-03-26,3,5.4,0.4,48,15.8,Paris
2020-03-27,3,7.0,3.4,64,11.0,Paris
2020-03-28,3,9.3,6.1,71,12.9,Paris
2020-03-29,3,6.1,-0.6,54,28.9,Paris
2020-03-30,3,4.3,-2.3,44,25.4,Paris
2020-03-31,2,6.1,1.6,70,17.1,Paris
2020-04-01,0,5.8,2.2,61,9.6,Paris
2020-04-02,3,5.4,1.9,68,9.5,Paris
