time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-01-01,3,5.0,2.8,93,5.6
2020-01-02,3,8.2,4.7,90,18.2
2020-01-03,53,7.9,4.1,86,18.9
2020-01-04,3,4.4,0.8,88,13.1
2020-01-05,3,5.8,2.7,90,11.4
2020-01-06,53,7.2,3.1,83,19.0
2020-01-07,51,8.6,5.0,92,19.9
2020-01-08,61,10.9,8.4,91,15.8
2020-01-09,63,10.8,7.0,87,24.2
2020-01-10,51,5.5,2.1,85,12.7
2020-01-11,3,8.6,3.6,81,26.9
2020-01-12,51,9.1,4.7,83,24.1
2020-01-13,55,8.0,3.4,86,25.2
2020-01-14,53,10.1,4.8,84,32.0
2020-01-15,61,8.5,4.1,83,22.9
2020-01-16,61,9.1,4.7,81,23.7
2020-01-17,61,7.6,3.6,85,19.4
2020-01-18,2,2.8,-0.7,87,10.5
2020-01-19,2,1.0,-2.6,86,9.3
2020-01-20,3,1.0,-2.2,92,7.6
2020-01-21,3,0.2,-3.1,96,7.3
2020-01-22,3,5.0,3.0,97,4.6
2020-01-23,3,6.1,4.2,93,5.1
2020-01-24,51,5.9,3.8,91,5.0
2020-01-25,3,5.7,3.2,91,8.0
2020-01-26,53,8.1,4.5,90,19.5
2020-01-27,63,6.8,3.3,90,16.6
2020-01-28,53,4.3,-0.9,82,22.2
2020-01-29,3,4.9,0.3,77,18.9
2020-01-30,53,9.2,5.8,92,19.7
2020-01-31,51,10.4,6.4,90,25.9
2020-02-01,3,9.7,5.0,78,25.8
2020-02-02,61,9.8,5.9,82,21.5
2020-02-03,51,9.0,4.5,76,22.7
2020-02-04,51,6.1,1.2,74,21.8
2020-02-05,3,4.0,1.1,88,7.1
2020-02-06,3,2.8,0.1,94,6.2
2020-02-07,3,4.5,0.8,87,13.7
2020-02-08,53,8.8,5.0,82,19.1
2020-02-09,63,10.1,3.0,82,44.7
2020-02-10,53,6.9,-0.2,71,37.0
2020-02-11,51,4.8,-2.4,61,32.9
2020-02-12,51,4.7,-0.5,72,20.9
2020-02-13,63,6.9,2.2,84,23.3
2020-02-14,51,6.5,2.4,86,18.8
2020-02-15,55,11.2,5.9,88,35.6
2020-02-16,63,10.1,4.2,84,36.7
2020-02-17,53,7.4,1.4,68,28.4
2020-02-18,53,6.6,1.0,75,26.5
2020-02-19,53,5.4,1.0,85,19.8
2020-02-20,61,7.7,2.3,81,28.7
2020-02-21,3,7.1,1.6,74,26.7
2020-02-22,3,10.6,4.7,73,33.6
2020-02-23,51,10.3,5.5,77,27.2
2020-02-24,53,9.1,4.6,84,25.0
2020-02-25,53,5.6,0.5,77,22.2
2020-02-26,51,3.6,-1.5,73,20.1
2020-02-27,73,3.5,-1.0,78,16.3
2020-02-28,55,5.4,0.9,87,21.8
2020-02-29,53,7.5,1.1,74,33.1
2020-03-01,3,6.1,0.4,65,24.6
2020-03-02,61,5.3,1.5,79,13.4
2020-03-03,51,4.5,0.4,79,14.6
2020-03-04,55,4.0,0.7,88,10.2
2020-03-05,61,5.5,1.0,93,21.5
2020-03-06,51,4.7,1.3,78,9.9
2020-03-07,3,6.8,2.9,84,17.6
2020-03-08,55,9.4,4.4,78,26.8
2020-03-09,53,7.2,2.6,78,20.9
2020-03-10,61,12.3,8.2,86,28.7
2020-03-11,51,10.9,6.6,76,24.1
2020-03-12,51,7.4,0.8,61,30.9
2020-03-13,51,7.0,2.5,71,18.3
2020-03-14,53,8.8,5.3,83,17.2
2020-03-15,53,9.1,4.7,83,23.6
2020-03-16,3,6.3,3.3,78,8.8
2020-03-17,3,8.4,4.4,83,19.5
2020-03-18,51,11.0,7.5,84,21.1
2020-03-19,51,7.6,4.4,86,14.7
2020-03-20,3,6.7,1.4,70,23.2
2020-03-21,3,6.4,0.7,66,24.9
2020-03-22,1,5.9,0.9,68,20.8
2020-03-23,0,5.4,1.2,63,13.6
2020-03-24,3,6.0,2.2,66,11.4
2020-03-25,2,5.6,1.7,61,10.5
2020-03-26,3,5.4,1.2,67,14.0
2020-03-27,1,6.7,2.1,68,17.9
2020-03-28,3,6.7,1.0,67,25.5
2020-03-29,51,4.7,-2.2,57,29.7
2020-03-30,51,5.3,0.9,72,16.5
2020-03-31,3,5.8,1.5,72,15.7
2020-04-01,3,4.2,0.9,74,7.5
2020-04-02,3,8.0,4.7,74,12.5
2020-04-03,51,8.5,6.1,74,6.6
2020-04-04,3,8.2,5.2,76,11.1
2020-04-05,0,12.5,8.8,60,17.6
2020-04-06,51,12.8,9.9,66,14.1
2020-04-07,3,11.2,9.0,71,8.6
2020-04-08,2,13.6,11.9,71,8.4
2020-04-09,3,13.4,11.0,69,12.5
2020-04-10,2,13.4,10.9,70,13.6
2020-04-11,3,15.1,13.5,65,7.7
2020-04-12,51,15.6,13.9,65,9.4
2020-04-13,3,8.6,2.9,58,26.5
2020-04-14,3,7.3,3.6,56,10.7
2020-04-15,3,8.6,5.7,66,9.1
2020-04-16,3,11.5,9.0,70,9.9
2020-04-17,61,10.1,6.0,75,20.4
2020-04-18,55,9.9,7.1,81,13.1
2020-04-19,3,10.6,7.3,69,14.8
2020-04-20,1,11.1,6.4,60,22.7
2020-04-21,3,12.6,7.9,54,23.1
2020-04-22,3,13.1,9.6,59,16.8
2020-04-23,3,13.9,11.4,62,11.4
2020-04-24,3,13.0,10.9,65,8.3
2020-04-25,3,10.2,7.8,75,10.5
2020-04-26,3,11.3,9.6,69,5.3
2020-04-27,51,12.2,9.9,67,8.9
2020-04-28,61,8.9,5.6,87,17.2
2020-04-29,53,10.1,7.1,80,14.7
2020-04-30,61,9.3,4.9,79,22.8
2020-05-01,53,10.4,6.6,73,18.8
2020-05-02,3,10.7,7.5,67,12.5
2020-05-03,51,10.1,8.3,81,6.2
2020-05-04,51,11.7,8.9,73,13.9
2020-05-05,3,9.8,5.3,67,22.7
2020-05-06,1,10.4,7.4,70,13.1
2020-05-07,3,13.2,11.4,69,8.1
2020-05-08,3,16.0,15.0,62,5.4
2020-05-09,3,16.0,14.1,61,10.7
2020-05-10,51,11.8,7.7,70,22.1
2020-05-11,3,8.4,1.8,48,28.5
2020-05-12,3,8.5,5.5,60,7.6
2020-05-13,3,8.8,4.4,59,17.0
2020-05-14,3,8.2,4.0,59,14.5
2020-05-15,3,10.3,7.7,64,7.1
2020-05-16,3,11.2,8.4,63,8.8
2020-05-17,3,13.2,10.7,64,11.7
2020-05-18,3,15.6,12.8,57,15.2
2020-05-19,3,17.3,16.0,66,11.2
2020-05-20,3,18.6,17.8,61,8.6
2020-05-21,51,19.0,18.0,56,8.5
2020-05-22,3,17.8,13.8,54,24.7
2020-05-23,51,14.4,9.3,55,27.9
2020-05-24,3,15.8,12.5,61,18.8
2020-05-25,3,17.3,16.0,58,8.3
2020-05-26,3,18.6,17.4,55,7.8
2020-05-27,3,17.9,16.6,60,9.1
2020-05-28,3,15.4,12.6,61,16.1
2020-05-29,1,15.4,12.6,57,14.8
2020-05-30,2,16.4,13.8,60,15.3
2020-05-31,0,17.4,14.4,53,18.0
2020-06-01,2,17.7,15.6,57,13.8
2020-06-02,3,17.8,16.5,58,8.3
2020-06-03,51,15.0,13.1,71,12.2
2020-06-04,51,12.5,9.2,68,17.2
2020-06-05,51,12.7,8.6,60,20.3
2020-06-06,55,11.1,6.3,66,24.2
2020-06-07,53,12.3,10.3,80,11.5
2020-06-08,3,12.3,9.6,70,13.2
2020-06-09,51,13.6,11.7,61,6.1
2020-06-10,55,12.8,11.4,84,9.6
2020-06-11,63,14.6,12.3,80,18.6
2020-06-12,51,16.0,14.1,82,19.5
2020-06-13,61,17.2,15.9,74,13.9
2020-06-14,53,16.7,15.7,75,11.8
2020-06-15,53,17.0,16.8,74,6.5
2020-06-16,65,16.9,17.1,80,6.5
2020-06-17,61,16.8,17.1,81,5.5
2020-06-18,63,15.8,15.5,88,10.6
2020-06-19,53,15.6,13.4,79,18.4
2020-06-20,51,16.3,14.8,77,14.3
2020-06-21,53,16.8,14.5,71,18.7
2020-06-22,3,15.9,14.2,68,13.0
2020-06-23,3,19.5,19.3,64,9.3
2020-06-24,3,22.3,21.9,62,13.9
2020-06-25,0,23.2,23.0,60,14.0
2020-06-26,61,21.3,21.4,68,11.9
2020-06-27,61,16.6,13.9,78,24.9
2020-06-28,51,15.7,11.3,63,27.1
2020-06-29,51,15.3,10.7,61,27.2
2020-06-30,55,15.7,13.7,78,18.2
2020-07-01,51,17.1,15.1,75,19.7
2020-07-02,63,16.2,14.5,74,15.2
2020-07-03,51,16.1,13.3,74,22.5
2020-07-04,51,18.0,15.3,81,29.1
2020-07-05,51,17.6,13.4,65,31.6
2020-07-06,3,15.5,12.1,61,19.4
2020-07-07,51,15.3,13.3,68,12.0
2020-07-08,63,16.6,16.0,88,14.7
2020-07-09,61,17.4,16.3,86,19.1
2020-07-10,51,15.2,12.9,70,15.4
2020-07-11,3,14.8,12.8,65,10.4
2020-07-12,3,16.2,15.2,65,5.6
2020-07-13,51,17.8,15.9,61,13.1
2020-07-14,53,17.3,16.7,73,9.7
2020-07-15,51,15.9,14.6,71,10.5
2020-07-16,3,18.3,17.5,71,11.6
2020-07-17,3,21.0,21.1,66,8.9
2020-07-18,3,19.0,18.2,69,12.3
2020-07-19,63,16.7,16.1,76,9.2
2020-07-20,3,16.0,14.1,58,9.8
2020-07-21,3,15.7,14.3,61,7.3
2020-07-22,3,17.8,16.0,59,11.3
2020-07-23,3,18.9,16.9,58,15.3
2020-07-24,51,19.2,18.4,73,13.6
2020-07-25,63,18.4,17.0,84,22.4
2020-07-26,3,17.1,15.1,74,18.5
2020-07-27,53,17.7,15.9,83,23.1
2020-07-28,51,16.4,13.8,66,17.4
2020-07-29,3,16.2,14.4,65,10.8
2020-07-30,3,19.3,18.7,61,7.8
2020-07-31,53,24.1,23.1,54,16.7
2020-08-01,3,20.5,19.3,65,15.6
2020-08-02,51,18.0,15.8,60,14.8
2020-08-03,51,17.7,15.6,55,11.5
2020-08-04,3,17.1,15.3,67,13.0
2020-08-05,3,19.7,17.3,64,21.5
2020-08-06,51,21.4,21.7,73,11.9
2020-08-07,3,24.4,25.0,59,6.6
2020-08-08,3,25.5,26.0,56,10.4
2020-08-09,51,23.6,23.7,66,15.3
2020-08-10,3,25.5,26.6,63,12.1
2020-08-11,3,26.0,28.0,63,6.0
2020-08-12,51,26.0,27.9,63,8.5
2020-08-13,63,22.7,24.5,77,8.8
2020-08-14,63,19.4,20.4,87,10.1
2020-08-15,63,19.4,20.7,90,10.4
2020-08-16,53,19.7,21.1,86,7.7
2020-08-17,51,18.0,18.3,84,9.9
2020-08-18,63,18.2,17.8,84,15.1
2020-08-19,61,18.3,18.4,91,15.4
2020-08-20,53,19.9,18.9,71,17.8
2020-08-21,2,19.7,16.2,69,33.0
2020-08-22,51,18.1,15.0,69,25.7
2020-08-23,51,17.1,14.8,71,19.4
2020-08-24,51,16.5,15.3,78,13.8
2020-08-25,61,17.7,14.4,80,31.5
2020-08-26,3,17.3,14.1,68,24.5
2020-08-27,63,15.1,14.4,85,10.2
2020-08-28,55,14.0,12.6,84,12.3
2020-08-29,61,13.1,9.2,78,25.6
2020-08-30,51,13.6,10.5,72,18.4
2020-08-31,3,13.0,11.7,70,4.4
2020-09-01,3,14.4,13.4,71,4.5
2020-09-02,55,14.8,13.4,80,12.3
2020-09-03,55,17.8,16.7,88,21.6
2020-09-04,51,15.2,13.6,80,14.0
2020-09-05,51,14.0,12.0,74,12.6
2020-09-06,3,13.4,12.0,78,8.6
2020-09-07,3,14.9,13.5,82,12.6
2020-09-08,3,18.8,18.8,83,14.0
2020-09-09,3,17.7,16.9,80,14.3
2020-09-10,3,13.7,12.3,71,6.6
2020-09-11,3,14.1,12.2,71,11.2
2020-09-12,3,15.6,13.8,74,14.1
2020-09-13,3,17.1,16.1,79,13.1
2020-09-14,3,18.1,18.1,75,7.4
2020-09-15,3,21.0,21.9,74,7.9
2020-09-16,51,19.8,19.1,70,14.0
2020-09-17,3,15.9,12.9,68,19.5
2020-09-18,3,15.6,12.6,69,19.7
2020-09-19,3,17.5,14.8,67,20.6
2020-09-20,3,17.9,15.9,67,16.2
2020-09-21,3,16.3,16.1,78,6.0
2020-09-22,3,17.6,16.6,75,12.1
2020-09-23,61,15.5,13.7,85,18.8
2020-09-24,61,11.2,7.9,79,17.7
2020-09-25,51,10.3,5.4,70,25.2
2020-09-26,3,10.0,4.8,64,25.3
2020-09-27,51,11.9,7.6,69,23.8
2020-09-28,51,12.9,10.7,71,11.3
2020-09-29,53,14.9,14.4,85,8.5
2020-09-30,61,14.1,11.9,83,18.3
2020-10-01,51,12.3,10.4,81,11.2
2020-10-02,63,12.0,8.9,90,21.9
2020-10-03,63,13.3,11.3,89,16.9
2020-10-04,63,10.0,6.4,89,21.3
2020-10-05,51,12.0,9.2,85,17.7
2020-10-06,53,12.5,9.4,85,20.9
2020-10-07,53,11.9,8.9,77,16.9
2020-10-08,61,14.1,11.6,86,21.4
2020-10-09,63,9.2,6.6,86,12.4
2020-10-10,53,8.9,5.4,82,17.4
2020-10-11,51,9.1,6.4,83,11.9
2020-10-12,53,9.2,7.2,89,9.0
2020-10-13,53,9.1,6.5,89,13.6
2020-10-14,53,10.4,7.1,84,18.4
2020-10-15,51,9.4,6.2,83,15.6
2020-10-16,51,9.4,7.0,82,10.1
2020-10-17,51,10.0,8.3,85,7.7
2020-10-18,51,9.4,7.9,85,4.9
2020-10-19,3,11.1,8.3,76,14.1
2020-10-20,61,14.6,12.0,81,20.6
